lara+croft+tomb+raider+the+cradle+of+life+2003,1996,5.5,1443,Lara Croft Tomb Raider: The Cradle of Life,en,False,"{""Action"", ""Adventure"", ""Fantasy"", ""Thriller""}",117,13.076349
apocalypto+2006,1579,7.3,1252,Apocalypto,en,False,"{""Action"", ""Adventure"", ""Drama"", ""Thriller""}",139,7.735233
start+the+revolution+without+me+1970,19753,5.5,12,Start the Revolution Without Me,en,False,"{""Comedy"", ""History""}",90,2.406178
sunless+1983,1563,7.7,49,Sunless,fr,False,"{""Documentary""}",100,3.827583
the+trial+1962,3009,7.4,80,The Trial,en,False,"{""Crime"", ""Drama""}",118,5.310729
roxanne+1987,11584,6.4,174,Roxanne,en,False,"{""Comedy"", ""Romance""}",107,11.394307
aftershock+2010,44560,7.5,35,Aftershock,zh,False,"{""Drama""}",135,2.467618
lovely++amazing+2001,50035,6.3,23,Lovely & Amazing,en,False,"{""Comedy"", ""Drama"", ""Romance""}",91,2.605409
death+wish+2+1982,14373,6.1,74,Death Wish 2,en,False,"{""Action"", ""Crime"", ""Thriller""}",88,7.965003
cold+weather+2010,55934,6.4,14,Cold Weather,en,False,"{""Mystery"", ""Drama"", ""Comedy"", ""Thriller""}",96,1.636778
animal+house+1978,8469,7.0,420,Animal House,en,False,"{""Comedy""}",109,7.525382
the+ex+2006,13171,5.0,64,The Ex,en,False,"{""Comedy"", ""Romance""}",90,5.976385
deuce+bigalow+european+gigolo+2005,11453,4.6,232,Deuce Bigalow: European Gigolo,en,False,"{""Comedy""}",83,5.341117
fighting+2009,17336,5.5,198,Fighting,en,False,"{""Action"", ""Adventure"", ""Crime"", ""Drama"", ""Thriller""}",105,7.036697
that+was+then...+this+is+now+1985,64945,5.9,9,That was Then... This is Now,en,False,"{""Drama""}",102,0.619283
eye+for+an+eye+1996,17182,5.8,65,Eye for an Eye,en,False,"{""Drama"", ""Thriller""}",101,4.733526
the+secret+policemans+other+ball+1982,59533,0.0,0,The Secret Policemans Other Ball,en,False,"{""Comedy"", ""Music""}",90,0.588173
the+maltese+falcon+1931,28257,5.9,15,The Maltese Falcon,en,False,"{""Crime"", ""Mystery""}",80,1.706761
ran+1985,11645,7.9,349,Ran,ja,False,"{""Action"", ""Drama"", ""History""}",162,12.250232
aladdin+and+the+king+of+thieves+1996,11238,6.1,494,Aladdin and the King of Thieves,en,False,"{""Adventure"", ""Animation"", ""Family""}",81,8.654244
young+guns+1988,11967,6.6,262,Young Guns,en,False,"{""Crime"", ""Action"", ""Adventure"", ""Drama"", ""Western""}",107,9.905174
starship+troopers+1997,563,6.7,1584,Starship Troopers,en,False,"{""Adventure"", ""Action"", ""Thriller"", ""Science Fiction""}",129,14.412644
a+man+escaped+1956,15244,8.0,93,A Man Escaped,fr,False,"{""Thriller"", ""Drama"", ""War""}",99,11.859048
la+vie+de+bohme+1992,28212,7.4,26,La Vie de Bohème,fr,False,"{""Comedy"", ""Drama"", ""Romance""}",100,2.482245
i+dont+want+to+talk+about+it+1993,124304,6.0,1,I Dont Want to Talk About It,en,False,"{""Romance"", ""Drama""}",106,1.213481
